artist,album,release_id,master_id,year,country,released,formats,labels,catalog_numbers,barcodes,genres,styles,discogs_url,tracks
(G)I-DLE,I feel,31867331,3120933,2023,South Korea,2023-05-19,CD (Mini-Album),Cube Entertainment,196922330315,196922330315,Pop,K-pop,https://www.discogs.com/release/31867331,"[{""position"": ""1"", ""title"": ""Queencard"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Allergy"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Lucid"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""All Night"", ""duration"": """", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Paradise"", ""duration"": """", ""type"": ""track""}, {""position"": ""6"", ""title"": ""Peter Pan"", ""duration"": """", ""type"": ""track""}]"
(G)I-DLE,I Feel,27653757,3120933,2023,South Korea,2023-05-19,CD (Mini-Album),Cube Entertainment,GIDLE208T,8804775251703,Rock; Pop,K-pop; Pop Rock; Power Pop; Dance-pop; Alt-Pop,https://www.discogs.com/release/27653757,"[{""position"": ""1"", ""title"": ""퀸카 (Queencard)"", ""duration"": ""2:42"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Allergy"", ""duration"": ""2:44"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Lucid"", ""duration"": ""2:57"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""All Night"", ""duration"": ""2:27"", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Paradise"", ""duration"": ""3:10"", ""type"": ""track""}, {""position"": ""6"", ""title"": ""어린 어른"", ""duration"": ""3:11"", ""type"": ""track""}]"
(G)I-DLE,2,30052297,3407131,2024,South Korea,2024-01-30,CD (Album),Cube Entertainment; kakao Entertainment,L200002851; L200002851,8804775368240,Rock; Pop,K-pop; Dance-pop; Power Pop; Pop Rock,https://www.discogs.com/release/30052297,"[{""position"": ""1"", ""title"": ""Super Lady"", ""duration"": ""2:32"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Revenge"", ""duration"": ""2:24"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Doll"", ""duration"": ""2:33"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Vision"", ""duration"": ""2:40"", ""type"": ""track""}, {""position"": ""5"", ""title"": ""7Days"", ""duration"": ""3:18"", ""type"": ""track""}, {""position"": ""6"", ""title"": ""나는 아픈 건 딱 질색이니까"", ""duration"": ""2:41"", ""type"": ""track""}, {""position"": ""7"", ""title"": ""Rollie"", ""duration"": ""2:43"", ""type"": ""track""}, {""position"": ""8"", ""title"": ""Wife"", ""duration"": ""2:01"", ""type"": ""track""}]"
(G)I-DLE,2,30533299,3407131,2024,South Korea,2024-01-30,CD (Album),Cube Entertainment; kakao Entertainment,L200002852; L200002852,8804775368257,Rock; Pop,K-pop; Dance-pop; Power Pop; Pop Rock,https://www.discogs.com/release/30533299,"[{""position"": ""1"", ""title"": ""Super Lady"", ""duration"": ""2:32"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Revenge"", ""duration"": ""2:24"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Doll"", ""duration"": ""2:33"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Vision"", ""duration"": ""2:40"", ""type"": ""track""}, {""position"": ""5"", ""title"": ""7Days"", ""duration"": ""3:18"", ""type"": ""track""}, {""position"": ""6"", ""title"": ""나는 아픈 건 딱 질색이니까"", ""duration"": ""2:41"", ""type"": ""track""}, {""position"": ""7"", ""title"": ""Rollie"", ""duration"": ""2:43"", ""type"": ""track""}, {""position"": ""8"", ""title"": ""Wife"", ""duration"": ""2:01"", ""type"": ""track""}]"
(G)I-DLE,2,30533032,3407131,2024,South Korea,2024-01-30,CD (Album),Cube Entertainment; kakao Entertainment,L200002851; L200002851,8804775368240,Rock; Pop,K-pop; Dance-pop; Power Pop; Pop Rock,https://www.discogs.com/release/30533032,"[{""position"": ""1"", ""title"": ""Super Lady"", ""duration"": ""2:32"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Revenge"", ""duration"": ""2:24"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Doll"", ""duration"": ""2:33"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Vision"", ""duration"": ""2:40"", ""type"": ""track""}, {""position"": ""5"", ""title"": ""7Days"", ""duration"": ""3:18"", ""type"": ""track""}, {""position"": ""6"", ""title"": ""나는 아픈 건 딱 질색이니까"", ""duration"": ""2:41"", ""type"": ""track""}, {""position"": ""7"", ""title"": ""Rollie"", ""duration"": ""2:43"", ""type"": ""track""}, {""position"": ""8"", ""title"": ""Wife"", ""duration"": ""2:01"", ""type"": ""track""}]"
(G)I-DLE,2,32565579,3407131,2024,South Korea,2024-01-29,"File (FLAC, Album)",Cube Entertainment,291,8804775368431,Electronic; Rock; Pop,K-pop,https://www.discogs.com/release/32565579,"[{""position"": ""1"", ""title"": ""Super Lady"", ""duration"": ""2:32"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Revenge"", ""duration"": ""2:24"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Doll"", ""duration"": ""2:33"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Vision"", ""duration"": ""2:40"", ""type"": ""track""}, {""position"": ""5"", ""title"": ""7Days"", ""duration"": ""3:18"", ""type"": ""track""}, {""position"": ""6"", ""title"": ""Fate"", ""duration"": ""2:41"", ""type"": ""track""}, {""position"": ""7"", ""title"": ""Rollie"", ""duration"": ""2:43"", ""type"": ""track""}, {""position"": ""8"", ""title"": ""Wife"", ""duration"": ""2:01"", ""type"": ""track""}]"
(G)I-DLE,2,30533194,3407131,2024,South Korea,2024-01-30,CD (Album),Cube Entertainment; kakao Entertainment,L200002851; L200002851,8804775368240,Rock; Pop,K-pop; Dance-pop; Power Pop; Pop Rock,https://www.discogs.com/release/30533194,"[{""position"": ""1"", ""title"": ""Super Lady"", ""duration"": ""2:32"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Revenge"", ""duration"": ""2:24"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Doll"", ""duration"": ""2:33"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Vision"", ""duration"": ""2:40"", ""type"": ""track""}, {""position"": ""5"", ""title"": ""7Days"", ""duration"": ""3:18"", ""type"": ""track""}, {""position"": ""6"", ""title"": ""나는 아픈 건 딱 질색이니까"", ""duration"": ""2:41"", ""type"": ""track""}, {""position"": ""7"", ""title"": ""Rollie"", ""duration"": ""2:43"", ""type"": ""track""}, {""position"": ""8"", ""title"": ""Wife"", ""duration"": ""2:01"", ""type"": ""track""}]"
(G)I-DLE,I SWAY,32770473,3549515,2024,South Korea,2024-07-08,Cassette (Mini-Album),Cube Entertainment,L2200002994,8804775450242,Pop,K-pop,https://www.discogs.com/release/32770473,"[{""position"": ""1"", ""title"": ""Klaxon (클락션)"", ""duration"": ""2:55"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Last Forever"", ""duration"": ""2:25"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Bloom"", ""duration"": ""3:14"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Neverland"", ""duration"": ""2:45"", ""type"": ""track""}]"
(G)I-DLE,I Sway,32391063,3549515,2024,South Korea,2024-07-08,"CD (Mini-Album, Stereo)",Cube Entertainment,L200002993,196922985591; 196922985584,Pop,K-pop,https://www.discogs.com/release/32391063,"[{""position"": ""1"", ""title"": ""클락션 = Klaxon"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Last Forever"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Bloom"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Neverland"", ""duration"": """", ""type"": ""track""}]"
(G)I-DLE,I Sway,31268891,3549515,2024,South Korea,2024-07-08,"CD (Mini-Album, Stereo)",Cube Entertainment,L200002993,8804775450235,Pop,K-pop,https://www.discogs.com/release/31268891,"[{""position"": ""1"", ""title"": ""클락션 = Klaxon"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Last Forever"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Bloom"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Neverland"", ""duration"": """", ""type"": ""track""}]"
